section_id,road_number,road_name,road_start,road_end,section_order,province,district,commune,management,start_km,end_km,length,width,road_class,terrain,temperature,moisture,surface_type,condition_class,pavement_age,traffic_level,traffic_growth,lanes,road_type,roughness,structural_no,aadt_motorcyle,aadt_carsmall,aadt_carmedium,aadt_delivery,aadt_4wheel,aadt_smalltruck,aadt_mediumtruck,aadt_largetruck,aadt_articulatedtruck,aadt_smallbus,aadt_mediumbus,aadt_largebus,aadt_total
212TH00001-01,501,Đường Trường Thi - Hàm Rồng,"Phường Trường Thi, TP Thanh Hóa","Cầu Hàm Rồng, TP Thanh Hóa",1,Thanh Hoa,TH,,2,0,3,3,9,3,1,1,4,2,3,6,7,1,4,1,6,5,2000,200,360,160,160,600,240,80,0,160,40,0,4000
212TH00001-02,501,Đường Trường Thi - Hàm Rồng,"Phường Trường Thi, TP Thanh Hóa","Cầu Hàm Rồng, TP Thanh Hóa",2,Thanh Hoa,TH,,2,3,4.5,1.5,9,3,1,1,4,2,3,6,7,1,4,1,6,5,2000,200,360,160,160,600,240,80,0,160,40,0,4000
212TH00002-01,502,Đình Hương - Giàng - Thiệu Đô,"Phường Đông Thọ, TP. Thanh Hóa","Xã Thiệu Đô, Huyện Thiệu Hóa",1,Thanh Hoa,TH,,2,0,3,3,7,4,1,1,4,2,3,6,6,2,3,1,6,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00022-01,502,Đình Hương - Giàng - Thiệu Đô,"Phường Đông Thọ, TP. Thanh Hóa","Xã Thiệu Đô, Huyện Thiệu Hóa",1,Thanh Hoa,TX,,2,3,11.4,8.4,3.5,6,2,1,4,3,3,9,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00003-01,503,QL47 - Cảng Thanh Hóa,"Giao QL47 tại xã Quảng Hưng, huyện Quảng Xương",Cảng Thanh Hóa,1,Thanh Hoa,QX,,2,0,2,2,7,4,1,1,4,3,3,9,6,2,3,1,7,4,1000,100,180,80,80,300,120,40,0,80,20,0,2000
212TH00004-01,504,Quảng Bình - Quảng Yên,"Xã Quảng Bình, huyện Quảng Xương","Xã Quảng Yên, huyện Quảng Xương",1,Thanh Hoa,QX,,2,0,11.3,11.3,3.5,6,1,1,4,3,3,7,3,4,1,1,7,1.5,113.75,5.25,12.25,3.5,3.5,22.75,7,1.75,0,3.5,1.75,0,175
212TH00005-01,505,Chuối - Thanh Tân,"Xã Vạn Thiện, huyện Nông Cống","Xã Xuân Bình, huyện Như Xuân",1,Thanh Hoa,NC,,2,0,28.3,28.3,3.5,6,2,1,4,3,4,9,5,4,1,1,12,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00006-01,521C,Ban Công - Phú Lệ,"xã Ban Công, huyện Bá Thước","Phú Lệ, huyện Quan Hóa",1,Thanh Hoa,NC,,2,0,36.83,36.83,3.5,6,1,1,4,3,3,5,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00007-01,506B,Thị trấn Thiệu Hóa - Xuân Vinh - Xuân Lam,Thị trấn Thiệu Hóa tại Km60 QL45,"Xã Xuân Lam, huyện Thọ Xuân (giao đường HCM tại Km154,6)",1,Thanh Hoa,TU,,2,0,12,12,5,6,1,1,4,3,3,9,5,4,2,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
212TH00007-02,506B,Thị trấn Thiệu Hóa - Xuân Vinh - Xuân Lam,Thị trấn Thiệu Hóa tại Km60 QL45,"Xã Xuân Lam, huyện Thọ Xuân (giao đường HCM tại Km154,6)",2,Thanh Hoa,TX,,2,12,34,22,3.5,6,1,1,4,3,3,7,5,4,1,1,7,3,375,37.5,67.5,30,30,112.5,45,15,0,30,7.5,0,750
